,Local_Active,Local_New,Local_Incidence,FL_Active,FL_New,FL_Incidence,Test_Rate,Holidays,Beaches,Bars,Safer_At_Home,Restaurants,METier,Masks
114,1901,133,416.8859649122807,131773.0,9062.0,613.4683426443203,12502.448465590207,12,7,14,0,7,7,14
115,1967,225,431.35964912280707,131800.0,10069.0,613.5940409683426,12738.553414635815,13,7,14,0,7,7,14
116,2121,275,465.13157894736844,136188.0,13809.0,634.022346368715,13109.472380633026,14,7,14,0,7,7,14
117,2165,186,474.78070175438603,136086.0,11338.0,633.5474860335195,13412.809738754137,14,7,14,0,7,7,14
118,2250,176,493.421052631579,136294.0,10238.0,634.5158286778399,13651.28923964382,14,7,14,0,7,7,14
119,2370,172,519.7368421052632,142396.0,12391.0,662.9236499068901,13980.248477760948,14,7,14,0,7,7,14
120,2520,258,552.6315789473684,145369.0,10257.0,676.7644320297951,14210.556726716599,0,7,14,0,7,7,14
121,2589,175,567.7631578947369,144734.0,9306.0,673.8081936685288,14432.386428793685,0,7,14,0,7,7,14
122,2610,146,572.3684210526317,145565.0,9646.0,677.6769087523277,14688.283965857298,0,7,14,0,7,7,14
123,2560,120,561.4035087719299,144301.0,10076.0,671.792364990689,14950.094602611067,0,7,14,0,7,7,14
124,2644,242,579.8245614035088,146345.0,12309.0,681.3081936685288,15255.964816032527,0,7,14,0,7,7,14
125,2479,202,543.640350877193,143165.0,12075.0,666.5037243947858,15534.117956654372,0,7,14,0,7,7,14
126,2586,276,567.1052631578948,139843.0,9267.0,651.0381750465549,15767.503811039309,0,7,14,0,7,7,14
127,2787,334,611.1842105263158,139596.0,8815.0,649.8882681564246,15976.9951554952,0,7,14,0,7,7,14
128,2817,255,617.7631578947369,138571.0,9044.0,645.1163873370577,16204.216487053547,0,7,14,0,7,7,14
129,2842,300,623.2456140350878,133992.0,9230.0,623.7988826815642,16420.56143996921,0,7,14,0,7,7,14
130,2967,311,650.6578947368422,132357.0,9703.0,616.1871508379888,16664.31151475596,0,7,14,0,7,7,14
